movie_id,title,genre,poster,rating
77,"Predator: Killer of Killers",Movie,https://image.tmdb.org/t/p/w500/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg,7.874
78,"The Naked Gun",Movie,https://image.tmdb.org/t/p/w500/hF4pG0CMDzC4GCiiUR9iNrzoW2p.jpg,6.5
79,"Spinal Tap II: The End Continues",Movie,https://image.tmdb.org/t/p/w500/h6DGrDHlDm6gVOiy3YeOb737jB4.jpg,6.8
80,"The Devil’s Trap",Movie,https://image.tmdb.org/t/p/w500/deq8OGRj45eX1EFYQayG5T3Prar.jpg,7
81,"Django Undisputed",Movie,https://image.tmdb.org/t/p/w500/porcUhC4jqFt72TaxbjOQo2lTzL.jpg,6.1
82,"The Bad Guys 2",Movie,https://image.tmdb.org/t/p/w500/c1msaKf1wyuKcmLjjJd6rIBPFcd.jpg,7.753
83,"Pets on a Train",Movie,https://image.tmdb.org/t/p/w500/xSibLTRfsUQagQnbOQLjp5oGbcq.jpg,6.9
84,"The Elixir",Movie,https://image.tmdb.org/t/p/w500/A6aJLPhtmin9ZTWC2h7dnrMHU4z.jpg,6.02
85,Wicked,Movie,https://image.tmdb.org/t/p/w500/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,6.918
86,Mango,Movie,https://image.tmdb.org/t/p/w500/8aTla8ofmtJdfhInKyLTyZifA3k.jpg,6.917
87,"Captain Avispa",Movie,https://image.tmdb.org/t/p/w500/zmthz3CuFljmBQcfuaz4hBNwbQ0.jpg,7.075
88,"Wicked: For Good",Movie,https://image.tmdb.org/t/p/w500/si9tolnefLSUKaqQEGz1bWArOaL.jpg,5
89,"Bone Lake",Movie,https://image.tmdb.org/t/p/w500/bV9sEJiznCmZu5Gf35N8m7D7OpX.jpg,6
90,"Black Dog",Movie,https://image.tmdb.org/t/p/w500/8XwRmwrMmm3MQ87XugUkApLF0hJ.jpg,7.2
91,"From Darkness",Movie,https://image.tmdb.org/t/p/w500/hLAXyfDXf5CI0HRvz0jrqy88mxg.jpg,6.3
92,Ballerina,Movie,https://image.tmdb.org/t/p/w500/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,7.31
93,"The People In The Walls",Movie,https://image.tmdb.org/t/p/w500/3NyL99rcDr5S4qQ8FXDwWiLujEE.jpg,5.2
94,"Fight Another Day",Movie,https://image.tmdb.org/t/p/w500/fKnLt1xQV0RdpN6RViowEiD1dFW.jpg,5.111
95,Prey,Movie,https://image.tmdb.org/t/p/w500/2FKjLRt7oK1bRRIrxgWmthbBdFh.jpg,7.672
96,"Final Destination Bloodlines",Movie,https://image.tmdb.org/t/p/w500/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,7.097
97,"A Minecraft Movie",Movie,https://image.tmdb.org/t/p/w500/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,6.356
98,"Tyler Perry's Finding Joy",Movie,https://image.tmdb.org/t/p/w500/sUMdbrjHhMFDY327B31ctpF9MuY.jpg,6.556
99,"Ballad of a Small Player",Movie,https://image.tmdb.org/t/p/w500/yiXpXNiBWENaSJmdKfoT5DU0bL4.jpg,5.902
100,"Safe House",Movie,https://image.tmdb.org/t/p/w500/gWfTs2h3WaN2xGsxWMz1iRnpWeu.jpg,5.714
101,"Moana 2",Movie,https://image.tmdb.org/t/p/w500/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,7.025
102,"Die My Love",Movie,https://image.tmdb.org/t/p/w500/uDMehIQIgqSCSkTINIfmKeqEt06.jpg,6.81
103,"It Chapter Two",Movie,https://image.tmdb.org/t/p/w500/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,6.839
104,"Ted 2",Movie,https://image.tmdb.org/t/p/w500/38C91I7Xft0gyY7BITm8i4yvuRb.jpg,6.316
105,"GATAO: Big Brothers",Movie,https://image.tmdb.org/t/p/w500/tc5z5OADIYlOZLn0xNNM32c0Cq5.jpg,7
106,"Gabby's Dollhouse: The Movie",Movie,https://image.tmdb.org/t/p/w500/t6LLguAmu6iZUN8pWhT7Q0IcaQ5.jpg,6.6
107,"The Dark Knight",Movie,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,8.524
108,"Ice Road: Vengeance",Movie,https://image.tmdb.org/t/p/w500/cQN9rZj06rXMVkk76UF1DfBAico.jpg,6.301
109,Eden,Movie,https://image.tmdb.org/t/p/w500/jbFEESMVbpJU8IjZBjiWGJdEsxR.jpg,6.7
110,"The Rookie Guide",Movie,https://image.tmdb.org/t/p/w500/fSxrzckEOWAFBBPwt9X4AHfVEA7.jpg,4.8
111,"Striking Rescue",Movie,https://image.tmdb.org/t/p/w500/nML8rOI4GOiiEsXgknuhZeUF8M7.jpg,7.529
